"kelime","anlam"
"hususan","özellikle"
"mağrib","akşam vakti"
"işâ","yatsı vakti"
"faziletli","değerli, sevaplı"
"mezkûr","anılan, sözü geçen"
"kelimât-ı mübareke","mübarek kelimeler"
"envâr","nurlar"
"nur","aydınlık"
"Lem'a","parıltı"
"Lem'a","parıltı"
"HAZRET-İ YUNUS","adı Kur'ân'da geçen peygamberlerden biridir. Hz. Yunus'un (a.s.) soyu, Bünyamin (a.s.) vasıtasıyla Hz. Yakup'a (a.s.) ve onunla Hz. İbrahim'e (a.s.) dayanmaktadır; bk. Yunus (a.s.)"
"ibn","oğul"
"Mettâ","Hz. Yunus'un (a.s.) babasının adı"
"Alâ Nebiyyinâ ve Aleyhissalâtü Vesselâm","peygamberimize ve ona salât ve selâm olsun"
"münâcât","Allah'a yalvarış, duâ"
"azîm","büyük"
"münâcât","Allah'a yalvarış, duâ"
"vesile-i icabe-i dua","duanın kabulüne vesile"
"Hazret-i Yunus","bk. Yunus (a.s.)"
"kıssa-i meşhure","meşhur kıssa"
"hülâsa","özet"
"dağdağa","gürültü, dehşet verici"
"münâcât","Allah'a yalvarış, duâ"
"vasıta-i necat","kurtuluş aracı"
"münâcât","Allah'a yalvarış, duâ"
"sırr-ı azîm","büyük sır"
"esbab","sebepler"
"bilkülliye","bütünüyle"
"sukut","düşmek; hükümsüz hâle gelmek"
"necat","kurtuluş"
"Zat","kişi"
"cevv-i semâ","gökyüzü, hava boşluğu"
"hût","büyük balık"
"ittifak","anlaşma, birlik"
"musahhar","boyun eğdiren"
"Zat","kişi"
"sahil-i selâmet","kurtuluş sahili"
"esbab","sebepler"
"Müsebbibü'l-Esbab","bütün sebepleri ve sebeplerin sonucunu yaratan Allah"
"melce","sığınak"
"aynelyakin","gözle görerek kesin bilgi edinme"
"sırr-ı ehadiyet","Allah'ın her bir varlıkta birliğinin görülmesinin sırrı"
"nur-u tevhid","her şeyin bir olan Allah'a ait olduğuna ve Onun yaptığına inanmaktan doğan nur"
"inkişaf","ortaya çıkma"
"münâcât","Allah'a yalvarış, duâ"
"hût","büyük balık"
"musahhar","boyun eğdiren"
"nur-u tevhid","her şeyin bir olan Allah'a ait olduğuna ve Onun yaptığına inanmaktan doğan nur"
"hût","büyük balık"
"tahtelbahir","denizaltı"
"dağvâri","dağ gibi"
"emvac","dalgalar"
"nur-u tevhid","her şeyin bir olan Allah'a ait olduğuna ve Onun yaptığına inanmaktan doğan nur"
"meydan-ı cevelân","gezinti alanı"
"tenezzühgâh","seyir ve gezinti yeri"
"nur","aydınlık"
"semâ","gökyüzü"
"kamer","ay"
"tazyik","baskı"
"mahlûkat","varlıklar"
"sahil-i selâmet","kurtuluş sahili"
"şecere-i yaktîn","kabak ağacı"
"lûtf-u Rabbânî","Allah'ın lûtfu"
"müşahede","gözlemlemek"
"Hazret-i Yunus","bk. Yunus (a.s.)"
"istikbal","gelecek"
"İstikbal","gelecek"
"nazar-ı gaflet","bir şeyin mânâsını anlamadan bakmak"
"sergerdan","şaşkın, başı dönük"
"küre-i zemin","yeryüzü"
"mevc","dalga"
"hevâ-yı nefs","nefsin yasak arzu ve istekleri"
"hût","büyük balık"
"hayat-ı ebediye","sonsuz hayat, âhiret hayatı"
"mahv","yok olma"
"hut","büyük balık"
"hût","büyük balık"
"muzır","zararlı"
"hût","büyük balık"
"mahv","yok olma"
"hût","büyük balık"
"mahv","yok olma"
"Hazret-i Yunus","bk. Yunus (a.s.)"
"iktidaen","uyarak"
"esbab","sebepler"
"Müsebbibü'l-Esbab","bütün sebepleri ve sebeplerin neticesini yaratan Allah"
"Rab","her bir varlığa muhtaç olduğu şeyleri veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah"
"iltica","sığınma"
"aynelyakin","gözle görerek kesin bilgi edinme"
"gaflet","duyarsızlık, umursamazlık"
"dalâlet","hak yoldan sapkınlık, inançsızlık"
"ittifak","anlaşma, birlik"
"istikbal","gelecek"
"hevâ-yı nefs","nefsin yasak arzu ve hevesleri"
"istikbal","gelecek"
"taht-ı emr","emir altında"
"taht-ı hükm","hüküm altında"
"nefs","can, kişinin kendisi"
"taht-ı idare","idaresi altında"
"Hâlık-ı Semâvat ve Arz","göklerin ve yerin yaratıcısı olan Allah"
"hâtırât-ı kalb","kalbden geçenler"
"istikbal","gelecek"
"âhiret","öldükten sonraki sonsuz hayat"
"icad","var etme"
"emvâc","dalgalar"
"hâşâ","asla"
"Zât-ı Vâcibü'l-Vücud","varlığı zorunlu olan ve varlığının devamı için hiçbir sebebe muhtaç olmayan Zât, Allah"
"cihet","yön, taraf"
"irade","istek, arzu"
"halâskâr","kurtarıcı"
"hakikat-i hal","o andaki durumunun gerçeği, meselenin iç yüzü"
"Hazret-i Yunus","bk. Yunus (a.s.)"
"münâcât","Allah'a yalvarış, duâ"
"hût","büyük balık"
"merkûb","binek"
"tahtelbahir","denizaltı"
"sahrâ","geniş düzlük alan"
"mehtap","ay ışığı, ay"
"lâtif","güzel, hoş"
"münâcât","Allah'a yalvarış, duâ"
"istikbal","gelecek"
"fıkra","bölüm, kısım"
"nefs","can, kişinin kendisi"
"nazar-ı merhamet","merhamet bakışı"
"celb","çekmek"
"nur-u iman","iman aydınlığı"
"istikbal","gelecek"
"tenevvür","aydınlanma"
"vahşet","ürküntü, yabanîlik"
